Diet;Habitat;Family;Latin Name;Phylum;Class;Order;Suborder;Genus;Species;Common Name;Size;Average Lifespan
Carnivore;Freshwater Swamps, Marshes, Rivers;Reptilia;Alligator mississippiensis;Chordata;Reptilia;Alligatoridae;Alligatorinae;Alligator;mississippiensis;American Alligator;Large;50 years
Carnivore;Varied, including human structures;Arachnida;Latrodectus mactans;Arthropoda;Arachnida;Araneae;Theridiidae;Latrodectus;mactans;Black Widow;Small;3 years
Herbivore;Freshwater;Cichlidae;Mayaheros urophthalmus;Actinopterygii;Teleostei;Cichliformes;Cichlinae;Cichlasoma;urophthalmus;Convict Cichlid;6 inches;10 years
Carnivore;Woodlands, Forests;Aves;Accipiter cooperii;Chordata;Aves;Accipitriformes;Accipitridae;Accipiter;cooperii;Cooper's Hawk;16.15 in;12 years
Carnivore;Ocean;Chondrichthyes;Squalus spp.;Chordata;Chondrichthyes;Squaliformes;Squalidae;Squalus;spp.;Dogfish Shark;Medium;10 years
Omnivore;Terrestrial;Canidae;Canis lupus familiaris;Mammalia;Carnivora;Caniformia;Canidae;Canis;C. lupus familiaris;Domestic Dog;24-36 inches;10-13 years
Detritivore;Soil;Annelida;Lumbricus terrestris;Ecdysozoa;Nematoda;Enoplea;Lumbricidae;Lumbricus;terrestris;Earthworm;Small;2-8 years
Carnivore;Freshwater and Marine Water;Actinopterygii;Anguilla anguilla;Chordata;Actinopterygii;Anguilliformes;Anguillidae;Anguilla;anguilla;European Eel;Medium;5-20 years
Carnivore;Marine;Carcharodon carcharias;Chondrichthyes;Chondrichthyes;Lamniformes;Lamnidae;Lamninae;Carcharodon;C. carcharias;Great White Shark;15-20 feet;70 years
Omnivore;Estuaries, Shallow Ocean Water;Arthropoda;Limulus polyphemus;Arthropoda;Merostomata;Xiphosura;Limulidae;Limulus;polyphemus;Horseshoe Crab;Medium;20 years
Carnivore;Ocean;Vertebrata;Elasmobranchii;Chordata;Vertebrata;Elasmobranchii;;;;Sharks, Rays, Skates;Medium;5-50 years
Insectivore;Urban Areas, Forests;Mollusca;Mytilus edulis;Mollusca;Bivalvia;Mytilidae;Mytilus;edulis;Blue Mussel;Small;;
;;;;;;;;;;Small Tortoiseshell Butterfly;;11 months
Omnivore;Deciduous and Pine Forests, Urban Areas;Animalia;Didelphis virginiana;Chordata;Mammalia;Didelphimorphia;Didelphinae;Didelphis;virginiana;Virginia Opossum;Medium;2 years
