Diet;Habitat;Family;Latin Name;Phylum;Class;Order;Genus;Species;Common Name;Size
Carnivore;Freshwater Swamps, Marshes, Rivers;Reptilia;Alligator mississippiensis;Chordata;Reptilia;Alligatoridae;Alligator;mississippiensis;American Alligator;Large
Carnivore;Varied, including human structures;Arachnida;Latrodectus mactans;Arthropoda;Arachnida;Araneae;Latrodectus;mactans;Black Widow;Small
Carnivore;Woodlands, Forests;Aves;Accipiter cooperii;Chordata;Aves;Accipitriformes;Accipiter;cooperii;Cooper's Hawk;16.15 in
Carnivore;Ocean;Chondrichthyes;Squalus spp.;Chordata;Chondrichthyes;Squaliformes;Squalus;spp.;Dogfish Shark;Medium
Detritivore;Soil;Annelida;Lumbricus terrestris;Ecdysozoa;Nematoda;Enoplea;Lumbricus;terrestris;Earthworm;Small
Carnivore;Freshwater and Marine Water;Actinopterygii;Anguilla anguilla;Chordata;Actinopterygii;Anguilliformes;Anguilla;anguilla;European Eel;Medium
Omnivore;Estuaries, Shallow Ocean Water;Arthropoda;Limulus polyphemus;Arthropoda;Merostomata;Xiphosura;Limulus;polyphemus;Horseshoe Crab;Medium
Carnivore;Ocean;Vertebrata;Elasmobranchii;Chordata;Vertebrata;Elasmobranchii;;;Sharks, Rays, Skates;Medium
Insectivore;Urban Areas, Forests;Mollusca;Mytilus edulis;Mollusca;Bivalvia;Mytilidae;edulis;Blue Mussel;Small;
Omnivore;Deciduous and Pine Forests, Urban Areas;Animalia;Didelphis virginiana;Chordata;Mammalia;Didelphimorphia;Didelphis;virginiana;Virginia Opossum;Medium
Herbivore;Freshwater;Cichlidae;Mayaheros urophthalmus;Actinopterygii;Teleostei;Cichliformes;Cichlasoma;urophthalmus;Convict Cichlid;6 inches
Carnivore;Marine;Carcharodon carcharias;Chondrichthyes;Chondrichthyes;Selachii;Lamniformes;Carcharodon;carcharias;Great White Shark;600 cm
Omnivore;Terrestrial;Canidae;Canis lupus familiaris;Chordata;Mammalia;Carnivora;Canis;lupus;Domestic Dog;60 cm
Herbivore;Freshwater;Cichlidae;Pseudotropheus saulosi;Chordata;Actinopterygii;Perciformes;Pseudotropheus;saulosi;African Cichlid;6 cm
