Characters;Author;Title;Year;Rating;Style;Genre;Poem;Element;Length;Original Language;Number of Pages;Number of Acts/Parts;Theme
 Elizabeth Bennet, Mr. Darcy, Mr. Collins, Lady Catherine de Bourgh;Austen;Pride and Prejudice;1813;4.7;Realist;Novel;No;Satire;350 pp.;English;238;6;Prejudice & Love
 Pip, Estella, Miss Havisham, Abel Magwitch;Dickens;Great Expectations;1861;4.7;Victorian;Novel;No;Irony;500 pp.;English;485;3;Self-Deception
Medea, Jason, Creon;Euripides;Medea;431 BC;5/5;Greek tragedy;Tragedy;No;Tragic heroism, Revenge;Long;Ancient Greek;123;2;Fate vs. Free Will
 Macondo inhabitants;Garcia-Marquez;One Hundred Years of Solitude;1967;5.0;Magical Realist;Novel;No;Allegory;400 pp.;Spanish;417;6;Political & Historical
 Tess Durbeyfield, Alec d'Urberville, Angel Clare;Hardy;Tess of the d'Urbervilles;1891;4.0;Realistic;Novel;No;Symbolism;500 pp.;English;448;1;Innocence
 Virgins;Herrick;To the Virgins;1648;4.8;Cavalier;Poetry;Yes;Personification;25 pp.;English;3;1;Time
 Achilles, Hector, Patroclus, Odysseus, Zeus, Athena;Homer;The Iliad;800 BC;10/10;Epic Poetry;Ancient Greek Literature,War;Yes;Heroism,Fate;Long;Greek;366;24;Human Nature,War
Odysseus, Athena, Poseidon;Homer;The Odyssey;800 BC;5/5;Epic;Poetry;Yes;Mythological;Long;Greek;237;24;Journey, Return
 Leopold Bloom, Stephen Dedalus, Molly Bloom;Joyce;Ulysses;1922;4.5;Modernist;Novel;No;Imagery;600 pp.;English;730;18;Journey of Self-Discovery
 No significant characters;Plath;Ariel;1965;4.5;Postmodern;Poetry;Yes;Metaphor;100 pp.;English;52;1;Mental Health
 Rosalind, Orlando, Celia, Jaques;Shakespeare;As You Like It;1623;5.0;Elizabethan;Play;No;Characterization;200 pp.;English;274;2;Love & Friendship
Hamlet, Claudius, Gertrude;Shakespeare;Hamlet;1603;5/5;Shakespearean tragedy;Tragedy;No;Revenge, Madness;Long;English;432;5;Deception, Corruption
 Traveler, King of Kings;Shelley;Ozymandias;1818;4.2;Romantic;Poetry;Yes;Allusion;50 pp.;English;1;1;Transience of Life
 Billy Pilgrim, Roland Weary, Valencia Merble, Eliot Rosewater;Vonnegut;Slaughterhouse-Five;1969;4.5;Postmodern;Novel;No;Irony;375 pp.;English;304;5;War
