Characters;Locations;Author;Title;Year;Rating;Style;Genre;Poem;Element;Length;Theme
 Elizabeth Bennet, Mr. Darcy, Mr. Collins, Lady Catherine de Bourgh; Hertfordshire, London, Pemberley;Austen;Pride and Prejudice;1813;4.7;Realist;Novel;No;Satire;350 pp.;Prejudice & Love
 Pip, Estella, Miss Havisham, Abel Magwitch; London, Kent, Satis House;Dickens;Great Expectations;1861;4.7;Victorian;Novel;No;Irony;500 pp.;Self-Deception
 Macondo inhabitants; Macondo;Garcia-Marquez;One Hundred Years of Solitude;1967;5.0;Magical Realist;Novel;No;Allegory;400 pp.;Political & Historical
 Tess Durbeyfield, Alec d'Urberville, Angel Clare; Wessex;Hardy;Tess of the d'Urbervilles;1891;4.0;Realistic;Novel;No;Symbolism;500 pp.;Innocence
 Virgins; No significant locations;Herrick;To the Virgins;1648;4.8;Cavalier;Poetry;Yes;Personification;25 pp.;Time
 Achilles, Hector, Patroclus, Odysseus, Zeus, Athena; Troy, Olympus, River Xanthus, Thetis' cave;Homer;The Iliad;800 BC;10/10;Epic Poetry;Ancient Greek Literature,War;Yes;Heroism,Fate;Long;Human Nature,War
 Leopold Bloom, Stephen Dedalus, Molly Bloom; Dublin;Joyce;Ulysses;1922;4.5;Modernist;Novel;No;Imagery;600 pp.;Journey of Self-Discovery
 No significant characters; No significant locations;Plath;Ariel;1965;4.5;Postmodern;Poetry;Yes;Metaphor;100 pp.;Mental Health
 Rosalind, Orlando, Celia, Jaques; Forest of Arden;Shakespeare;As You Like It;1623;5.0;Elizabethan;Play;No;Characterization;200 pp.;Love & Friendship
 Traveler, King of Kings; Desert;Shelley;Ozymandias;1818;4.2;Romantic;Poetry;Yes;Allusion;50 pp.;Transience of Life
 Billy Pilgrim, Roland Weary, Valencia Merble, Eliot Rosewater; Dresden, Tralfamadore, Ilium, New York;Vonnegut;Slaughterhouse-Five;1969;4.5;Postmodern;Novel;No;Irony;375 pp.;War
