Characters;Author;Title;Year;Rating;Style;Genre;Poem;Element;Length;Theme
Characters: Dante Alighieri, Virgil;Author: Dante Alighieri;Title: The Divine Comedy;Year: 1320;Rating: 5/5;Style: Poetic Narrative;Genre: Italian Literature, Poetry, Fantasy;Poem: Yes;Element: Fire;Length: Long;Theme: Morality, Spirituality, Journey
 Elizabeth Bennet, Mr. Darcy, Mr. Collins, Lady Catherine de Bourgh;Austen;Pride and Prejudice;1813;4.7;Realist;Novel;No;Satire;350 pp.;Prejudice & Love
 Pip, Estella, Miss Havisham, Abel Magwitch;Dickens;Great Expectations;1861;4.7;Victorian;Novel;No;Irony;500 pp.;Self-Deception
 Macondo inhabitants;Garcia-Marquez;One Hundred Years of Solitude;1967;5.0;Magical Realist;Novel;No;Allegory;400 pp.;Political & Historical
 Tess Durbeyfield, Alec d'Urberville, Angel Clare;Hardy;Tess of the d'Urbervilles;1891;4.0;Realistic;Novel;No;Symbolism;500 pp.;Innocence
 Virgins;Herrick;To the Virgins;1648;4.8;Cavalier;Poetry;Yes;Personification;25 pp.;Time
 Achilles, Hector, Patroclus, Odysseus, Zeus, Athena;Homer;The Iliad;800 BC;10/10;Epic Poetry;Ancient Greek Literature,War;Yes;Heroism,Fate;Long;Human Nature,War
 Leopold Bloom, Stephen Dedalus, Molly Bloom;Joyce;Ulysses;1922;4.5;Modernist;Novel;No;Imagery;600 pp.;Journey of Self-Discovery
 No significant characters;Plath;Ariel;1965;4.5;Postmodern;Poetry;Yes;Metaphor;100 pp.;Mental Health
 Rosalind, Orlando, Celia, Jaques;Shakespeare;As You Like It;1623;5.0;Elizabethan;Play;No;Characterization;200 pp.;Love & Friendship
 Traveler, King of Kings;Shelley;Ozymandias;1818;4.2;Romantic;Poetry;Yes;Allusion;50 pp.;Transience of Life
 Billy Pilgrim, Roland Weary, Valencia Merble, Eliot Rosewater;Vonnegut;Slaughterhouse-Five;1969;4.5;Postmodern;Novel;No;Irony;375 pp.;War
