Word;Definition;Synonyms;Lifespan;Origin
Basilisk;King serpent;Cockatrice;Hours to a few days;Greek, Roman
Centaur;Man-horse;Hippocentaurs;Decades;Greek
Cerberus;Three-headed;Dog of Hades;Immortal;Greek
Chimera;Monstrous;Fabulous creature;Unknown;Greek
Cyclops;One-eyed;Polyphemus;Unknown;Greek
Dragon, large, serpent-like creature;Drake, Wyrm;Serpent, Worm;Variable;Multiple origins
Gorgon;Women-monster;Euryale;Immortal;Greek
Hydra;Snake-human;Antaeus;Immortal;Lerna, a lake in the Argolid, Greece
Mermaid, half-human, half-fish creature;Siren;Ariel, The Little Mermaid;Unknown;Maritime folklore
Minotaur;Human-bull;Man bull, Asterius;Unknown;Greek
Nymph;Nature spirit;Dryad, Oread;Immortal;Greek, Roman
Pegasus;Winged horse;Kelpie;Immortal;Greek
Phoenix;Fire bird;Benu, Huma;Hundreds to thousands of years;Greek, Roman
Siren;Half-human;Harpy, Lorelei;Immortal;Greek
Unicorns;Horned horse;Monoceros, Narwhal;Hundreds of years;European
